ship_type,ship_id,ship_name,dwt,distance,period,lat,lon,dt,speed
Cargo,146140,WILSON SUND,6274,8.046368029713362,prev,54.69806,20.45276,2016-12-19T03:27:03Z,0
Cargo,146336,BELBEK,4225,1272.040928139978,curr,59.92099,30.00478,2016-12-15T10:09:03Z,108
Cargo,146336,BELBEK,4225,1272.040928139978,prev,59.91674,30.02597,2016-12-15T10:07:04Z,99
Cargo,148995,BALTICA,13772,1947.1543325694163,curr,57.63161,11.68412,2016-12-19T14:49:05Z,138
Cargo,148995,BALTICA,13772,1947.1543325694163,prev,57.6458,11.70329,2016-12-19T14:47:05Z,135
Cargo,150545,RIG,2809,2897.434460463755,curr,55.71651,21.10869,2016-12-16T13:03:06Z,51
Cargo,150545,RIG,2809,2897.434460463755,prev,55.72821,21.06735,2016-12-16T12:55:06Z,82
Cargo,150705,CATHARINA SCHULTE,34600,816.0575594457584,curr,54.52669,18.56057,2016-12-16T12:57:07Z,25
Cargo,150705,CATHARINA SCHULTE,34600,816.0575594457584,prev,54.53396,18.55884,2016-12-16T12:55:07Z,41
Cargo,151630,HENNEKE RAMBOW,11274,1399.342987268009,curr,59.90508,30.08266,2016-12-18T08:43:04Z,112
Cargo,151630,HENNEKE RAMBOW,11274,1399.342987268009,prev,59.90027,30.10585,2016-12-18T08:41:05Z,101
Cargo,152955,WALTER HAMMANN,1323,2834.8756814211674,curr,57.64769,11.7103,2016-12-20T11:11:05Z,77
Cargo,152955,WALTER HAMMANN,1323,2834.8756814211674,prev,57.62553,11.68675,2016-12-20T10:59:05Z,82
Cargo,153800,AMANDA,1795,1005.5343996546828,curr,57.93981,11.68622,2016-12-19T14:49:05Z,78
Cargo,153800,AMANDA,1795,1005.5343996546828,prev,57.94727,11.69585,2016-12-19T14:47:05Z,80
Cargo,155585,TENDER1,NA,4888.363242661586,curr,57.61285,11.80496,2016-12-14T10:09:05Z,158
Cargo,155585,TENDER1,NA,4888.363242661586,prev,57.64594,11.85902,2016-12-14T02:23:08Z,0
Cargo,155711,MAERSKMCKINNEYMOLLER,194153,36600.37016242157,curr,54.78387,18.98247,2016-12-19T10:57:02Z,166
Cargo,155711,MAERSKMCKINNEYMOLLER,194153,36600.37016242157,prev,54.45481,18.99613,2016-12-19T09:41:02Z,173
Cargo,156758,ANGLIA SEAWAYS,4650,1508.4924451124634,curr,54.78513,18.9612,2016-12-20T02:05:02Z,122
Cargo,156758,ANGLIA SEAWAYS,4650,1508.4924451124634,prev,54.79479,18.94468,2016-12-20T02:03:01Z,124
Cargo,157070,FREESIA SEAWAYS,14330,2819.6124963153366,curr,57.64865,11.70891,2016-12-16T21:43:08Z,206
Cargo,157070,FREESIA SEAWAYS,14330,2819.6124963153366,prev,57.62766,11.68233,2016-12-16T21:41:08Z,216
Cargo,157073,BEGONIA SEAWAYS,14424,1940.5429275206156,curr,57.65701,11.75727,2016-12-18T13:17:05Z,179
Cargo,157073,BEGONIA SEAWAYS,14424,1940.5429275206156,prev,57.65199,11.72603,2016-12-18T13:15:05Z,185
Cargo,157110,MAGNOLIA SEAWAYS,10407,2410.5925289226757,curr,57.62883,11.68972,2016-12-16T06:05:05Z,186
Cargo,157110,MAGNOLIA SEAWAYS,10407,2410.5925289226757,prev,57.61156,11.66525,2016-12-16T06:03:05Z,186
Cargo,158628,PETUNIA SEAWAYS,10407,1955.2474907008364,curr,57.64103,11.69722,2016-12-17T16:55:05Z,153
Cargo,158628,PETUNIA SEAWAYS,10407,1955.2474907008364,prev,57.652589999999996,11.72198,2016-12-17T16:53:05Z,145
Cargo,158740,PRIMULA SEAWAYS,10407,2412.2450840778542,curr,57.65028,11.71538,2016-12-15T18:17:05Z,191
Cargo,158740,PRIMULA SEAWAYS,10407,2412.2450840778542,prev,57.63254,11.69205,2016-12-15T18:15:07Z,204
Cargo,159287,FICARIA SEAWAYS,14300,1926.6405797759194,curr,57.65243,11.72356,2016-12-15T17:05:05Z,204
Cargo,159287,FICARIA SEAWAYS,14300,1926.6405797759194,prev,57.65739,11.75459,2016-12-15T17:01:06Z,175
Cargo,159418,BIRTHE BRES,3740,2727.8516556637283,curr,57.67889,11.81503,2016-12-14T19:57:05Z,96
Cargo,159418,BIRTHE BRES,3740,2727.8516556637283,prev,57.66332,11.77958,2016-12-14T19:55:05Z,107
Cargo,181427,MISANA,11407,1215.6588005049643,curr,59.912,30.04833,2016-12-19T01:47:03Z,113
Cargo,181427,MISANA,11407,1215.6588005049643,prev,59.91617,30.02817,2016-12-19T01:45:04Z,117
Cargo,181730,HVITANES,4380,857.0448713338717,curr,59.91746,30.02093,2016-12-13T18:51:03Z,88
Cargo,181730,HVITANES,4380,857.0448713338717,prev,59.91454,30.03516,2016-12-13T18:49:05Z,90
Cargo,182333,TRADER BULK,4415,1952.521621964339,curr,57.60091,11.68952,2016-12-19T03:31:05Z,24
Cargo,182333,TRADER BULK,4415,1952.521621964339,prev,57.60003,11.65679,2016-12-19T03:19:05Z,91
Cargo,182341,SILVER PEARL,2607,1895.4352083782899,curr,59.90694,30.07326,2016-12-15T15:31:04Z,104
Cargo,182341,SILVER PEARL,2607,1895.4352083782899,prev,59.91338,30.04178,2016-12-15T15:29:04Z,110
Cargo,182353,EYSTNES,4450,934.7995902718467,curr,59.91299,30.04387,2016-12-19T14:57:03Z,98
Cargo,182353,EYSTNES,4450,934.7995902718467,prev,59.91605,30.02825,2016-12-19T14:55:04Z,94
Cargo,182370,"NAVEN",4191,2879.292529085409,curr,57.93928,11.68787,2016-12-14T19:57:05Z,106
Cargo,182370,"NAVEN",4191,2879.292529085409,prev,57.95989,11.71741,2016-12-14T19:55:05Z,106
Cargo,182391,HAUKUR,3013,1070.9954057080395,curr,55.72609,21.08812,2016-12-13T23:43:06Z,86
Cargo,182391,HAUKUR,3013,1070.9954057080395,prev,55.72101,21.10265,2016-12-13T23:39:06Z,77
