ship_type,ship_id,ship_name
Cargo,758718,PAPUA
Cargo,758759,E.R. VISBY
Cargo,758887,CHARLOTTA B
Cargo,858053,CONTAINERSHIPS VII
Cargo,948265,TANAIS
Cargo,1071570,SVISLOCH
Cargo,1914339,MSC OSCAR
Cargo,2892026,TRUE LOVE
Cargo,3350779,ASPEN
Cargo,3382564,CHAROITE
Cargo,3412946,PRINCESSE OUI
Cargo,3542150,ZHEN ZHU HAI
Cargo,3569217,ALANA
Cargo,3574326,LADY AMI
Cargo,3610791,AFRICAN GROUSE
Cargo,3711215,AFRICAN MAGNOLIA
Cargo,3917444,SAT AIS
Cargo,3919413,FEDERAL CEDAR
Cargo,4003834,AGNETHE ARCTICA
Cargo,4003835,DT BROSON
Cargo,4122562,ARION
Cargo,4133526,DELPHIS BOTHNIA
Cargo,4252519,PETER PAN
Cargo,4331405,FITTER
Cargo,4515761,BOMAR VANQUISH
Cargo,4631227,MIRVA VG
Fishing,151919,KRISTIN
Fishing,151978,VICTORIA
Fishing,154872,CHRISTINA MICHELLE
Fishing,156348,STELLA NOVA
Fishing,158315,R 355 TRINE LOUISE
Fishing,158493,STJARNVIK
Fishing,158750,R 222 BORNOE
Fishing,181857,KAPITAN GERASHCHENKO
Fishing,310529,POLAR
Fishing,310855,VASTFJORD II
Fishing,315746,WLA 108
Fishing,315753,LEB-7
Fishing,315804,HEL-111
Fishing,315805,HEL 112
Fishing,315877,KAPER-2 SG-312
Fishing,315887,WLA-307
Fishing,315889,WLA-209 BLANKA
Fishing,315901,HEL-150
Fishing,315903,HEL 23
Fishing,315907,WLA 253
Fishing,315909,WLA-13O
Fishing,315912,WLA 116
Fishing,315924,WLA-254
Fishing,315927,JAS 102
Fishing,315929,JAS-74
Fishing,315930,JAS 78
Fishing,315941,WLA-295
Fishing,315946,WLA-305
Fishing,315948,WLA310
Fishing,315950,WLA-311
Fishing,315951,WLA-312
Fishing,315959,GDA-20
Fishing,315960,GDA-18
Fishing,315968,JAS-64
Fishing,315971,WLA-291
Fishing,315979,JAS-80
Fishing,315983,WLA-184 HELOT
Fishing,315986,JAS 77
Fishing,315998,JAS 31
Fishing,316004,HEL-152
Fishing,316006,WLA-22
Fishing,316016,WLA 51
Fishing,316038,WLA-217
Fishing,316042,WLA-6
Fishing,316044,WLA-197
Fishing,316046,JAS 39
Fishing,316049,JAS-12
Fishing,316050,JAS 51
Fishing,316056,HEL-103
Fishing,316061,HEL-102
Fishing,316079,DZI-92 ATILIUS
Fishing,316083,WLA-32
Fishing,316086,JAS 76
